step,secs,tou_price,s0_c1,s0_c2,s0_c3,s0_c4,s0_c5,s0_active_load_kw,pv_0,s1_c1,s1_c2,s1_c3,s1_c4,s1_c5,s1_active_load_kw,pv_1,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_active_load_kw,pv_2,s3_c1,s3_c2,s3_c3,s3_c4,s3_c5,s3_active_load_kw,pv_3,s4_c1,s4_c2,s4_c3,s4_c4,s4_c5,s4_active_load_kw,pv_4,temperature_c,humidity_pct,cloud_amount,precipitation_mm,snow_cm,wind_speed_ms,wind_direction_deg,pressure_hpa,sea_level_pressure_hpa,solar_radiation_mj_m2,current_PTY
9,0,111.9,0,0,1,0,0,5.935,1.196,1,1,1,0,0,98.864,1.196,0,0,1,1,1,16.523,1.176,1,1,1,0,1,105.169,1.159,0,0,0,0,1,15.477,1.156,12.792,82.085,6.667,0.0,0.0,3.858,200.0,999.892,1010.092,0.135,0
9,600,111.9,0,0,0,1,1,16.789,1.424,1,0,1,0,0,64.7,1.429,0,0,1,1,1,19.395,1.441,1,1,1,0,1,105.504,1.431,0,1,0,0,1,53.382,1.425,12.975,80.252,6.001,0.0,0.0,3.975,200.0,1000.075,1010.275,0.145,0
9,1200,111.9,0,1,1,1,1,65.512,1.701,1,1,0,0,0,84.701,1.711,1,0,1,1,1,46.825,1.75,1,1,1,0,1,105.456,1.687,0,1,0,1,1,59.257,1.681,13.158,78.418,5.334,0.0,0.0,4.092,200.0,1000.258,1010.458,0.155,0
9,1800,111.9,0,1,1,1,0,61.666,1.981,1,1,0,0,0,92.607,1.996,1,0,1,1,1,65.404,2.0,1,1,1,1,1,111.762,2.011,0,1,0,1,1,59.196,1.991,13.342,76.585,4.667,0.0,0.0,4.208,200.0,1000.442,1010.642,0.165,0
9,2400,111.9,0,1,1,1,0,57.977,2.337,1,1,0,0,0,92.461,2.366,1,0,1,1,1,62.631,2.34,1,1,1,0,1,107.379,2.299,1,1,1,1,1,96.568,2.305,13.525,74.752,4.001,0.0,0.0,4.325,200.0,1000.625,1010.825,0.175,0
9,3000,111.9,0,1,1,0,0,52.548,2.629,1,1,0,0,0,92.348,2.701,1,1,0,1,1,84.294,2.63,1,1,1,1,1,111.847,2.665,1,1,1,1,1,110.7,2.632,13.708,72.918,3.334,0.0,0.0,4.442,200.0,1000.808,1011.008,0.185,0
10,0,111.9,0,1,1,0,0,52.655,2.971,1,1,0,0,0,93.692,2.969,1,1,0,1,1,105.083,2.987,1,1,1,1,1,111.742,2.971,1,1,1,1,1,95.506,2.923,13.9,71.418,2.834,0.0,0.0,4.492,250.0,1000.967,1011.167,0.195,0
10,600,111.9,0,1,1,0,0,52.697,3.227,1,1,1,0,0,93.018,3.225,1,1,0,1,1,106.856,3.224,1,1,1,1,1,109.545,3.248,1,1,1,1,1,111.569,3.213,14.1,70.251,2.5,0.0,0.0,4.475,250.0,1001.1,1011.3,0.205,0
10,1200,111.9,0,1,1,0,0,52.801,3.5,0,1,1,0,0,52.578,3.502,1,1,1,1,1,112.23,3.478,1,1,0,1,1,107.759,3.531,1,1,1,1,1,111.966,3.499,14.3,69.084,2.167,0.0,0.0,4.458,250.0,1001.233,1011.433,0.215,0
10,1800,111.9,0,1,0,0,0,46.287,3.802,0,1,1,0,0,56.021,3.794,1,1,1,1,1,111.996,3.808,1,1,1,0,1,107.926,3.809,1,1,1,1,1,112.174,3.79,14.5,67.918,1.834,0.0,0.0,4.442,250.0,1001.367,1011.567,0.225,0
10,2400,111.9,0,1,0,0,0,46.259,4.096,0,1,1,1,0,58.633,4.101,1,1,1,1,1,110.266,4.093,1,1,1,1,1,111.656,4.104,1,1,1,1,1,111.939,4.096,14.7,66.751,1.5,0.0,0.0,4.425,250.0,1001.5,1011.7,0.235,0
10,3000,111.9,0,1,1,0,0,50.782,4.412,0,0,1,0,1,11.242,4.408,1,1,1,1,0,106.169,4.468,1,1,1,1,1,112.173,4.408,1,1,1,1,1,111.587,4.406,14.9,65.584,1.167,0.0,0.0,4.408,250.0,1001.633,1011.833,0.245,0
11,0,111.9,0,1,1,0,0,52.639,4.802,0,0,1,0,0,6.475,4.815,1,1,1,1,1,112.03,4.79,1,1,1,1,1,112.022,4.788,1,1,1,1,1,107.779,4.823,15.166,64.251,1.0,0.0,0.0,4.417,270.0,1001.717,1011.9,0.263,0
11,600,111.9,0,1,1,0,0,52.757,5.307,0,0,1,0,0,6.494,5.29,1,1,1,1,1,111.637,5.284,1,1,1,1,1,112.108,5.333,1,1,1,0,0,99.075,5.319,15.5,62.751,1.0,0.0,0.0,4.45,270.0,1001.75,1011.9,0.29,0
11,1200,111.9,0,1,1,0,0,52.735,5.781,0,0,1,0,0,9.119,5.793,1,1,1,1,0,108.443,5.806,1,1,0,1,1,105.879,5.802,0,1,1,0,1,81.003,5.79,15.833,61.251,1.0,0.0,0.0,4.483,270.0,1001.783,1011.9,0.317,0
11,1800,111.9,0,1,1,0,0,56.184,6.294,0,1,1,1,1,58.371,6.273,1,1,0,1,1,104.536,6.277,1,1,0,1,1,103.363,6.279,0,1,1,0,1,59.306,6.28,16.166,59.751,1.0,0.0,0.0,4.517,270.0,1001.817,1011.9,0.343,0
11,2400,111.9,1,1,0,0,1,98.62,6.781,0,1,1,1,1,65.899,6.772,1,1,0,0,1,99.012,6.784,1,1,0,0,1,98.859,6.739,0,1,1,0,1,59.138,6.776,16.5,58.251,1.0,0.0,0.0,4.55,270.0,1001.85,1011.9,0.37,0
11,3000,111.9,1,1,0,0,1,81.42,7.251,0,0,1,1,1,41.727,7.251,1,0,0,0,1,56.157,7.279,1,1,0,0,1,98.913,7.28,0,1,1,0,1,52.298,7.269,16.833,56.751,1.0,0.0,0.0,4.583,270.0,1001.883,1011.9,0.397,0
12,0,111.9,1,0,1,1,1,64.775,7.4,0,0,1,1,1,19.442,7.384,1,0,0,0,1,55.355,7.39,1,1,0,0,1,100.877,7.37,0,0,1,0,1,13.006,7.397,17.033,55.501,1.0,0.0,0.0,4.675,230.0,1001.908,1011.908,0.404,0
12,600,111.9,1,0,1,1,1,65.742,7.158,0,0,1,1,1,18.353,7.176,1,0,0,0,1,52.767,7.181,1,0,0,0,1,68.124,7.194,1,1,1,1,1,87.857,7.194,17.1,54.501,1.0,0.0,0.0,4.825,230.0,1001.925,1011.925,0.393,0
12,1200,111.9,1,0,1,1,1,65.837,6.966,1,1,1,0,1,93.171,6.972,1,0,0,0,1,52.816,6.945,1,0,0,0,1,52.584,6.974,1,1,1,1,0,105.271,6.976,17.167,53.501,1.0,0.0,0.0,4.975,230.0,1001.942,1011.942,0.381,0
12,1800,111.9,1,0,1,1,1,65.583,6.749,1,1,1,1,1,107.482,6.728,1,0,0,0,1,52.755,6.791,1,0,0,0,1,52.658,6.786,1,1,1,1,0,105.051,6.775,17.233,52.501,1.0,0.0,0.0,5.125,230.0,1001.958,1011.958,0.369,0
12,2400,111.9,1,0,1,1,1,65.777,6.545,1,1,1,1,0,105.285,6.514,1,1,0,0,1,91.181,6.53,1,0,0,1,1,55.835,6.532,1,1,1,1,0,104.585,6.523,17.3,51.501,1.0,0.0,0.0,5.275,230.0,1001.975,1011.975,0.358,0
12,3000,111.9,1,1,1,1,1,81.34,6.345,1,1,1,1,0,108.158,6.335,1,1,0,0,1,100.905,6.328,1,0,0,1,1,58.995,6.317,1,1,0,1,0,99.882,6.322,17.367,50.501,1.0,0.0,0.0,5.425,230.0,1001.992,1011.992,0.346,0
